snapshot_date,underlying,call_volume,put_volume,total_volume,call_share,put_share,put_call_ratio,contracts_seen
2026-05-29,US.APLD,51773,10465,62238,0.8319,0.1681,0.2021,200
2026-05-29,US.ASML,9652,5473,15125,0.6381,0.3619,0.567,200
2026-05-29,US.ASX,4795,1365,6160,0.7784,0.2216,0.2847,200
2026-05-29,US.AVGO,226802,20779,247581,0.9161,0.0839,0.0916,200
2026-05-29,US.BABA,66928,27115,94043,0.7117,0.2883,0.4051,200
2026-05-29,US.BBAI,258806,29116,287922,0.8989,0.1011,0.1125,200
2026-05-29,US.BMNR,120399,60039,180438,0.6673,0.3327,0.4987,200
2026-05-29,US.CBRS,8475,5753,14228,0.5957,0.4043,0.6788,200
2026-05-29,US.CLBT,995,32,1027,0.9688,0.0312,0.0322,104
2026-05-29,US.COHR,11554,16405,27959,0.4132,0.5868,1.4199,200
2026-05-29,US.COIN,133363,45545,178908,0.7454,0.2546,0.3415,200
2026-05-29,US.CRCL,86594,26428,113022,0.7662,0.2338,0.3052,200
2026-05-29,US.CRM,183799,26869,210668,0.8725,0.1275,0.1462,200
2026-05-29,US.CRWD,25565,5691,31256,0.8179,0.1821,0.2226,200
2026-05-29,US.CRWV,170593,50174,220767,0.7727,0.2273,0.2941,200
2026-05-29,US.CVX,21898,15987,37885,0.578,0.422,0.7301,200
2026-05-29,US.DDOG,19080,8902,27982,0.6819,0.3181,0.4666,200
2026-05-29,US.DELL,244845,66633,311478,0.7861,0.2139,0.2721,200
2026-05-29,US.DJT,52250,14499,66749,0.7828,0.2172,0.2775,200
2026-05-29,US.DUOL,5309,891,6200,0.8563,0.1437,0.1678,200
2026-05-29,US.EWT,12313,918,13231,0.9306,0.0694,0.0746,200
2026-05-29,US.FCX,33195,14977,48172,0.6891,0.3109,0.4512,200
2026-05-29,US.FICO,263,362,625,0.4208,0.5792,1.3764,200
2026-05-29,US.GDS,11000,305,11305,0.973,0.027,0.0277,200
2026-05-29,US.GEMI,4565,1861,6426,0.7104,0.2896,0.4077,200
2026-05-29,US.GEV,5382,12639,18021,0.2987,0.7013,2.3484,200
2026-05-29,US.GOOGL,247107,83644,330751,0.7471,0.2529,0.3385,200
2026-05-29,US.GWRE,629,193,822,0.7652,0.2348,0.3068,200
2026-05-29,US.HOOD,637569,104878,742447,0.8587,0.1413,0.1645,200
2026-05-29,US.IBIT,406060,207108,613168,0.6622,0.3378,0.51,200
2026-05-29,US.IBM,237374,28144,265518,0.894,0.106,0.1186,200
2026-05-29,US.IGV,267155,477166,744321,0.3589,0.6411,1.7861,200
2026-05-29,US.INTC,441959,142891,584850,0.7557,0.2443,0.3233,200
2026-05-29,US.INTU,12998,5446,18444,0.7047,0.2953,0.419,200
2026-05-29,US.IREN,153867,136716,290583,0.5295,0.4705,0.8885,200
2026-05-29,US.IWM,502185,655790,1157975,0.4337,0.5663,1.3059,200
2026-05-29,US.JD,23465,9385,32850,0.7143,0.2857,0.4,200
2026-05-29,US.KC,1834,336,2170,0.8452,0.1548,0.1832,140
2026-05-29,US.LI,5185,2911,8096,0.6404,0.3596,0.5614,200
2026-05-29,US.LITE,9534,12693,22227,0.4289,0.5711,1.3313,200
2026-05-29,US.MANH,26,59,85,0.3059,0.6941,2.2692,200
2026-05-29,US.MARA,337605,43051,380656,0.8869,0.1131,0.1275,200
2026-05-29,US.META,411482,90074,501556,0.8204,0.1796,0.2189,200
2026-05-29,US.MP,14782,5779,20561,0.7189,0.2811,0.3909,200
2026-05-29,US.MRNA,94670,8190,102860,0.9204,0.0796,0.0865,200
2026-05-29,US.MRVL,112345,37830,150175,0.7481,0.2519,0.3367,200
2026-05-29,US.MSFT,1155737,124034,1279771,0.9031,0.0969,0.1073,200
2026-05-29,US.MSTR,331675,165740,497415,0.6668,0.3332,0.4997,200
2026-05-29,US.NBIS,113940,44607,158547,0.7187,0.2813,0.3915,200
2026-05-29,US.NET,21303,3650,24953,0.8537,0.1463,0.1713,200
2026-05-29,US.NOW,359614,48113,407727,0.882,0.118,0.1338,200
2026-05-29,US.NVDA,2414967,714226,3129193,0.7718,0.2282,0.2957,200
2026-05-29,US.OKLO,67968,47478,115446,0.5887,0.4113,0.6985,200
2026-05-29,US.OPEN,124462,17867,142329,0.8745,0.1255,0.1436,200
2026-05-29,US.ORCL,562881,41429,604310,0.9314,0.0686,0.0736,200
2026-05-29,US.PANW,66350,12415,78765,0.8424,0.1576,0.1871,200
2026-05-29,US.PDD,38908,32932,71840,0.5416,0.4584,0.8464,200
2026-05-29,US.PLTR,1001204,176484,1177688,0.8501,0.1499,0.1763,200
2026-05-29,US.QCOM,124826,17168,141994,0.8791,0.1209,0.1375,200
2026-05-29,US.QQQ,2583090,1820242,4403332,0.5866,0.4134,0.7047,200
2026-05-29,US.RBRK,14407,2850,17257,0.8348,0.1652,0.1978,200
2026-05-29,US.RDDT,41592,5778,47370,0.878,0.122,0.1389,200
2026-05-29,US.REMX,246,195,441,0.5578,0.4422,0.7927,200
2026-05-29,US.RXRX,60012,3253,63265,0.9486,0.0514,0.0542,200
2026-05-29,US.SAP,5863,1810,7673,0.7641,0.2359,0.3087,200
2026-05-29,US.SBET,22098,17589,39687,0.5568,0.4432,0.796,200
2026-05-29,US.SCO,4348,1815,6163,0.7055,0.2945,0.4174,200
2026-05-29,US.SMCI,675472,66594,742066,0.9103,0.0897,0.0986,200
2026-05-29,US.SNOW,119120,20506,139626,0.8531,0.1469,0.1721,200
2026-05-29,US.SOFI,682444,107610,790054,0.8638,0.1362,0.1577,200
2026-05-29,US.SOUN,229858,18617,248475,0.9251,0.0749,0.081,200
2026-05-29,US.SOXL,45807,37811,83618,0.5478,0.4522,0.8254,200
2026-05-29,US.SOXS,200988,49630,250618,0.802,0.198,0.2469,200
2026-05-29,US.SPY,3943741,3080957,7024698,0.5614,0.4386,0.7812,200
2026-05-29,US.SQQQ,67448,17146,84594,0.7973,0.2027,0.2542,200
2026-05-29,US.SVIX,2218,3563,5781,0.3837,0.6163,1.6064,200
2026-05-29,US.TIGR,12271,50878,63149,0.1943,0.8057,4.1462,200
2026-05-29,US.TMF,12085,7270,19355,0.6244,0.3756,0.6016,200
