snapshot_date,underlying,option_code,option_type,strike,volume,turnover,open_interest,implied_volatility,premium
2026-05-29,US.AVGO,US.AVGO260601C450000,CALL,450.0,4954,1684168.0,1431,0.44832,540.0
2026-05-29,US.AVGO,US.AVGO260605C440000,CALL,440.0,4576,9774581.0,2265,0.89695,2512.5
2026-05-29,US.AVGO,US.AVGO260717C600000,CALL,600.0,4187,1785013.0,5207,0.61493,535.0
2026-05-29,US.AVGO,US.AVGO260605C450000,CALL,450.0,4072,7101097.0,3006,0.89211,2010.0
2026-05-29,US.AVGO,US.AVGO260605C430000,CALL,430.0,4021,10912098.0,4039,0.88566,3052.5
2026-05-29,US.AVGO,US.AVGO260717C650000,CALL,650.0,3771,937890.0,3965,0.64073,303.5
2026-05-29,US.AVGO,US.AVGO260601C440000,CALL,440.0,3652,2512856.0,878,0.44037,1065.0
2026-05-29,US.BABA,US.BABA260605C145000,CALL,145.0,6235,29403.0,7175,0.5725,9.0
2026-05-29,US.BABA,US.BABA260618C145000,CALL,145.0,3680,182728.0,25358,0.45659,47.5
2026-05-29,US.BABA,US.BABA260618C130000,CALL,130.0,3665,838021.0,12092,0.37892,222.5
2026-05-29,US.BABA,US.BABA260605C130000,CALL,130.0,3294,306195.0,1221,0.40863,82.5
2026-05-29,US.BABA,US.BABA260618P123000,PUT,123.0,3245,1284872.0,53,0.42109,412.5
2026-05-29,US.BABA,US.BABA260618C123000,CALL,123.0,3213,1615614.0,36,0.35233,480.0
2026-05-29,US.BABA,US.BABA260612C145000,CALL,145.0,3141,84204.0,238,0.49414,29.5
2026-05-29,US.BABA,US.BABA260717C145000,CALL,145.0,2724,475064.0,4209,0.41217,169.0
2026-05-29,US.BABA,US.BABA260618C135000,CALL,135.0,2151,277634.0,12462,0.40112,127.0
2026-05-29,US.BABA,US.BABA260605C135000,CALL,135.0,2018,71076.0,1992,0.44783,31.0
2026-05-29,US.BBAI,US.BBAI260605C5000,CALL,5.0,15112,435239.0,22329,1.0468,30.5
2026-05-29,US.BBAI,US.BBAI260717C7000,CALL,7.0,14448,442914.0,12255,1.14079,30.5
2026-05-29,US.BBAI,US.BBAI260605C5500,CALL,5.5,12240,184075.0,8732,1.16116,15.0
2026-05-29,US.BBAI,US.BBAI260605C6000,CALL,6.0,11905,98609.0,5472,1.28958,8.0
2026-05-29,US.BBAI,US.BBAI260717C5000,CALL,5.0,9285,712529.0,19698,1.0377,78.5
2026-05-29,US.BBAI,US.BBAI260618C5000,CALL,5.0,9098,431754.0,32679,1.07903,52.5
2026-05-29,US.BBAI,US.BBAI260618C6000,CALL,6.0,6960,150761.0,21086,1.17864,24.0
2026-05-29,US.BBAI,US.BBAI260717C6000,CALL,6.0,6515,309484.0,8669,1.09803,48.5
2026-05-29,US.BBAI,US.BBAI260918C5000,CALL,5.0,5267,629220.0,10349,1.07948,122.0
2026-05-29,US.BBAI,US.BBAI260612C6000,CALL,6.0,4692,75661.0,5107,1.19042,16.5
2026-05-29,US.BMNR,US.BMNR260605P16000,PUT,16.0,10516,51673.0,452,0.87278,5.0
2026-05-29,US.BMNR,US.BMNR260605C19500,CALL,19.5,8355,598170.0,1408,0.68334,61.0
2026-05-29,US.BMNR,US.BMNR260605P16500,PUT,16.5,6940,29097.0,779,0.71988,4.0
2026-05-29,US.BMNR,US.BMNR260605C19000,CALL,19.0,6858,600899.0,7213,0.66918,84.0
2026-05-29,US.BMNR,US.BMNR260717C23000,CALL,23.0,6146,545961.0,1073,0.79916,104.5
2026-05-29,US.BMNR,US.BMNR260605C20000,CALL,20.0,5545,283041.0,6325,0.70387,44.0
2026-05-29,US.BMNR,US.BMNR260605C21000,CALL,21.0,4221,118896.0,4077,0.74732,22.5
2026-05-29,US.BMNR,US.BMNR260612C19000,CALL,19.0,3760,352635.0,530,0.72263,122.0
2026-05-29,US.BMNR,US.BMNR280616C37000,CALL,37.0,3656,2269080.0,1006,0.85884,597.5
2026-05-29,US.BMNR,US.BMNR260605C18500,CALL,18.5,3203,256299.0,2584,0.63963,111.5
2026-05-29,US.CBRS,US.CBRS260605C265000,CALL,265.0,768,401212.0,122,1.10531,495.0
2026-05-29,US.CBRS,US.CBRS260605C255000,CALL,255.0,368,287412.0,355,1.05786,685.0
2026-05-29,US.CBRS,US.CBRS260605P170000,PUT,170.0,318,9410.0,10,1.22682,27.5
2026-05-29,US.CBRS,US.CBRS260717C400000,CALL,400.0,253,178251.0,466,1.13615,635.0
2026-05-29,US.CBRS,US.CBRS260618C300000,CALL,300.0,251,183158.0,1776,1.13983,725.0
2026-05-29,US.CBRS,US.CBRS260605C400000,CALL,400.0,228,3241.0,35,1.57643,15.0
2026-05-29,US.CBRS,US.CBRS260605P180000,PUT,180.0,214,7435.0,18,1.12223,42.5
2026-05-29,US.CBRS,US.CBRS260605C302500,CALL,302.5,206,25435.0,6,1.23369,142.5
2026-05-29,US.CBRS,US.CBRS260605P205000,PUT,205.0,203,43488.0,39,0.96881,192.5
2026-05-29,US.CBRS,US.CBRS260605C260000,CALL,260.0,188,108445.0,82,1.08019,580.0
2026-05-29,US.CLBT,US.CLBT260618C15000,CALL,15.0,341,19786.0,504,0.57462,67.5
2026-05-29,US.CLBT,US.CLBT261016C17500,CALL,17.5,166,17060.0,504,0.57898,122.5
2026-05-29,US.CLBT,US.CLBT270115C17500,CALL,17.5,154,26880.0,3,0.60379,197.5
2026-05-29,US.CLBT,US.CLBT260618C12500,CALL,12.5,124,22097.0,286,0.95762,265.0
2026-05-29,US.CLBT,US.CLBT260717C12500,CALL,12.5,55,11895.0,1214,0.59032,265.0
2026-05-29,US.CLBT,US.CLBT261218C15000,CALL,15.0,52,12700.0,1656,0.61325,267.5
2026-05-29,US.CLBT,US.CLBT261218C12500,CALL,12.5,33,10868.0,986,0.73213,430.0
2026-05-29,US.CLBT,US.CLBT260717C15000,CALL,15.0,23,1936.0,1782,0.578,115.0
2026-05-29,US.CLBT,US.CLBT260717C17500,CALL,17.5,19,745.0,873,0.60153,45.0
2026-05-29,US.CLBT,US.CLBT260717C20000,CALL,20.0,15,260.0,469,0.65278,20.0
2026-05-29,US.COHR,US.COHR260605C335000,CALL,335.0,1858,7481414.0,2410,0.92823,3390.0
2026-05-29,US.COHR,US.COHR260605P320000,PUT,320.0,1322,733803.0,557,0.96679,415.0
2026-05-29,US.COHR,US.COHR260605C372500,CALL,372.5,1133,1207817.0,464,0.87362,1240.0
2026-05-29,US.COHR,US.COHR260626C365000,CALL,365.0,1051,3401770.0,1035,0.83518,3195.0
2026-05-29,US.COHR,US.COHR260605P345000,PUT,345.0,1028,1441918.0,256,0.92298,1045.0
2026-05-29,US.COHR,US.COHR260605C360000,CALL,360.0,840,1101831.0,177,0.94412,1920.0
2026-05-29,US.COHR,US.COHR260605P350000,PUT,350.0,642,1064245.0,640,0.92903,1255.0
2026-05-29,US.COHR,US.COHR260605P280000,PUT,280.0,489,58316.0,1690,1.1275,92.5
2026-05-29,US.COHR,US.COHR260605P340000,PUT,340.0,413,449622.0,319,0.92105,865.0
2026-05-29,US.COHR,US.COHR260605P352500,PUT,352.5,391,729668.0,399,0.89283,1295.0
2026-05-29,US.COIN,US.COIN260605C190000,CALL,190.0,4817,2550434.0,7186,0.65785,630.0
2026-05-29,US.COIN,US.COIN260605C200000,CALL,200.0,4368,1400964.0,2230,0.6971,312.5
2026-05-29,US.COIN,US.COIN260605C202500,CALL,202.5,3842,939723.0,255,0.70826,261.5
2026-05-29,US.COIN,US.COIN260605C210000,CALL,210.0,3678,605856.0,1211,0.74123,152.5
2026-05-29,US.COIN,US.COIN260605C192500,CALL,192.5,2750,1381122.0,3770,0.67844,542.5
2026-05-29,US.COIN,US.COIN260605C195000,CALL,195.0,2446,1036776.0,1520,0.68586,455.0
2026-05-29,US.COIN,US.COIN260717C220000,CALL,220.0,2354,2089923.0,4122,0.68497,872.5
2026-05-29,US.COIN,US.COIN260605C205000,CALL,205.0,2326,535715.0,844,0.71121,212.5
2026-05-29,US.COIN,US.COIN260618C250000,CALL,250.0,1837,197443.0,11381,0.772,101.5
2026-05-29,US.COIN,US.COIN270521C220000,CALL,220.0,1824,8303873.0,978,0.74024,4635.0
2026-05-29,US.CRCL,US.CRCL260605P75000,PUT,75.0,9106,72578.0,173,1.25643,4.0
2026-05-29,US.CRCL,US.CRCL260605C120000,CALL,120.0,3133,822526.0,1430,0.90633,288.0
2026-05-29,US.CRCL,US.CRCL260618C120000,CALL,120.0,2596,1530090.0,7349,0.89087,657.5
2026-05-29,US.CRCL,US.CRCL260605C111000,CALL,111.0,2330,1142191.0,61,0.88721,645.0
2026-05-29,US.CRCL,US.CRCL260717C135000,CALL,135.0,2082,1581782.0,1055,0.87863,730.0
2026-05-29,US.CRCL,US.CRCL260605C140000,CALL,140.0,1921,84950.0,475,0.99391,40.0
2026-05-29,US.CRCL,US.CRCL260605C117000,CALL,117.0,1809,538696.0,78,0.89102,377.5
2026-05-29,US.CRCL,US.CRCL260605C110000,CALL,110.0,1583,863571.0,1274,0.88682,700.0
